case_id,family,emit,approximation_quality_gap,authority_gap,blast_radius_gap,clinical_utility_gap,distribution_shift_gap,freshness_gap,individual_population_gap,model_specification_gap,reason_traceability_gap
M01,induction,AEX,bounded,open,open,open,open,bounded,open,open,open
M02,induction,AEX,bounded,open,bounded,open,open,bounded,open,bounded,open
M03,induction,AEX,bounded,open,open,bounded,bounded,bounded,open,open,open
M04,induction,AEX,bounded,open,open,bounded,open,bounded,open,bounded,open
M05,induction,AEX,bounded,open,open,bounded,bounded,bounded,open,bounded,open
M06,induction,AEX,bounded,open,open,bounded,bounded,bounded,bounded,bounded,open
M07,induction,AEX,bounded,open,bounded,bounded,bounded,bounded,bounded,bounded,open
H01,held_out,AEX,bounded,bounded,bounded,bounded,bounded,bounded,bounded,bounded,open
H02,held_out,REV,bounded,open,open,bounded,bounded,open,bounded,open,open
H03,held_out,DIA,open,open,open,open,open,open,open,open,open
H04,held_out,AEX,bounded,bounded,open,bounded,open,bounded,bounded,open,open
H05,held_out,AEX,bounded,open,bounded,bounded,open,bounded,open,open,open
S-REF,synthetic_ladder,REF,open,bounded,bounded,bounded,bounded,bounded,bounded,bounded,bounded
S-DIA,synthetic_ladder,DIA,open,bounded,bounded,bounded,bounded,open,bounded,bounded,bounded
S-REV,synthetic_ladder,REV,bounded,bounded,bounded,bounded,bounded,open,bounded,bounded,bounded
S-AEX,synthetic_ladder,AEX,bounded,bounded,bounded,bounded,bounded,bounded,bounded,open,bounded
S-ALR,synthetic_ladder,ALR,bounded,bounded,bounded,bounded,bounded,bounded,bounded,bounded,bounded
W-currency,active_witness,ALR,bounded,bounded,bounded,bounded,bounded,closed,bounded,bounded,bounded
W-deployment,active_witness,ALR,bounded,bounded,closed,bounded,bounded,bounded,bounded,bounded,bounded
W-population,active_witness,ALR,bounded,bounded,bounded,bounded,closed,bounded,bounded,bounded,bounded
W-clinical,active_witness,ALR,bounded,bounded,bounded,closed,bounded,bounded,bounded,bounded,bounded
