dh_ft,rvr_floor_ft,saturated,k,perm_k,ground_truth,structural_kink
300.0,3770.28,0,4,0.0,-0.570952,0
298.0,3732.12,0,4,0.0,-0.555051,0
296.0,3693.96,0,4,0.0,-0.53915,0
294.0,3655.8,0,4,0.0,-0.523249,0
292.0,3617.64,0,4,0.0,-0.507348,0
290.0,3579.47,0,4,0.0,-0.491447,0
288.0,3541.31,0,4,0.0,-0.475546,0
286.0,3503.15,0,4,0.0,-0.459645,0
284.0,3464.99,0,4,0.0,-0.443744,0
282.0,3426.82,0,4,0.0,-0.427843,0
280.0,3388.66,0,4,0.0,-0.411942,0
278.0,3350.5,0,4,0.0,-0.396041,0
276.0,3312.34,0,4,0.0,-0.38014,0
274.0,3274.17,0,4,0.0,-0.364239,0
272.0,3236.01,0,4,0.0,-0.348338,0
270.0,3197.85,0,4,0.0,-0.332438,0
268.0,3159.69,0,4,0.0,-0.316537,0
266.0,3121.53,0,4,0.0,-0.300636,0
264.0,3083.36,0,4,0.0,-0.284735,0
262.0,3045.2,0,4,0.0,-0.268834,0
260.0,3007.04,0,4,0.0,-0.252933,0
258.0,2968.88,0,4,0.0,-0.237032,0
256.0,2930.71,0,4,0.0,-0.221131,0
254.0,2892.55,0,4,0.0,-0.20523,0
252.0,2854.39,0,4,0.0,-0.189329,0
250.0,2816.23,0,4,0.0,-0.173428,0
248.0,2778.07,0,4,0.0,-0.157527,0
246.0,2739.9,0,4,0.0,-0.141626,0
244.0,2701.74,0,4,0.0,-0.125725,0
242.0,2663.58,0,4,0.0,-0.109824,0
240.0,2625.42,0,4,0.0,-0.093923,0
238.0,2587.25,0,4,0.0,-0.078022,0
236.0,2549.09,0,4,0.0,-0.062121,0
234.0,2510.93,0,4,0.0,-0.04622,0
232.0,2472.77,0,4,0.0,-0.03032,0
230.0,2434.6,0,4,0.0,-0.014419,0
228.0,2396.44,0,4,0.25,0.001482,0
226.0,2358.28,0,4,0.25,0.017383,0
224.0,2320.12,0,4,0.25,0.033284,0
222.0,2281.96,0,4,0.25,0.049185,0
220.0,2243.79,0,4,0.25,0.065086,0
218.0,2205.63,0,4,0.25,0.080987,0
216.0,2167.47,0,4,0.25,0.096888,0
214.0,2129.31,0,4,0.25,0.112789,0
212.0,2091.14,0,4,0.25,0.12869,0
210.0,2052.98,0,4,0.25,0.144591,0
208.0,2014.82,0,4,0.25,0.160492,0
206.0,1976.66,0,4,0.25,0.176393,0
204.0,1938.5,0,4,0.25,0.192294,0
202.0,1900.33,0,4,0.25,0.208195,0
200.0,1862.17,0,4,0.25,0.224096,0
198.0,1824.01,0,4,0.25,0.239997,0
196.0,1785.85,0,4,0.25,0.255898,0
194.0,1747.68,0,4,0.25,0.271798,0
192.0,1709.52,0,4,0.25,0.287699,0
190.0,1671.36,0,4,0.25,0.3036,0
188.0,1633.2,0,4,0.25,0.319501,0
186.0,1595.03,0,4,0.5,0.335402,0
184.0,1556.87,0,4,0.5,0.351303,0
182.0,1518.71,0,4,0.5,0.367204,0
180.0,1480.55,0,4,0.5,0.383105,0
178.0,1442.39,0,4,0.5,0.399006,0
176.0,1404.22,0,4,0.5,0.414907,0
174.0,1366.06,0,4,0.5,0.430808,0
172.0,1327.9,0,4,0.5,0.446709,0
170.0,1289.74,0,4,0.5,0.46261,0
168.0,1251.57,0,4,0.5,0.478511,0
166.0,1213.41,0,4,0.5,0.494412,0
164.0,1175.25,0,4,0.5,0.510313,0
162.0,1137.09,0,4,0.5,0.526214,0
160.0,1098.93,0,4,0.5,0.542115,0
158.0,1060.76,0,4,0.5,0.558016,0
156.0,1022.6,0,4,0.5,0.573916,0
154.0,984.44,0,4,0.5,0.589817,0
152.0,946.28,0,4,0.5,0.605718,0
150.0,908.11,0,4,0.5,0.621619,0
148.0,869.95,0,4,0.5,0.63752,0
146.0,831.79,0,4,0.5,0.653421,0
144.0,793.63,0,4,0.75,0.669322,0
