snr_db,ber,bler,k,perm_k_bler,perm_k_ber,ground_truth,gap
-1.0,0.2,1.0,4,0.25,0.25,0.25,0.0
-0.9,0.19,1.0,4,0.25,0.25,0.25,0.0
-0.8,0.18,1.0,4,0.25,0.25,0.25,0.0
-0.7,0.17,1.0,4,0.25,0.25,0.25,0.0
-0.6,0.16,1.0,4,0.25,0.25,0.25,0.0
-0.5,0.15,1.0,4,0.25,0.25,0.25,0.0
-0.4,0.14,1.0,4,0.25,0.25,0.25,0.0
-0.3,0.13,1.0,4,0.25,0.25,0.25,0.0
-0.2,0.12,1.0,4,0.25,0.25,0.25,0.0
-0.1,0.11,1.0,4,0.25,0.25,0.25,0.0
-0.0,0.1,1.0,4,0.25,0.25,0.25,0.0
0.1,0.09,1.0,4,0.25,0.25,0.25,0.0
0.2,0.08,1.0,4,0.25,0.25,0.25,0.0
0.3,0.07,1.0,4,0.25,0.25,0.25,0.0
0.4,0.06,1.0,4,0.25,0.25,0.25,0.0
0.5,0.05,1.0,4,0.25,0.25,0.25,0.0
0.6,0.042,1.0,4,0.25,0.5,0.25,0.25
0.7,0.034,1.0,4,0.25,0.5,0.25,0.25
0.8,0.026,1.0,4,0.25,0.5,0.25,0.25
0.9,0.018,1.0,4,0.25,0.5,0.25,0.25
1.0,0.01,1.0,4,0.25,0.5,0.25,0.25
1.1,0.0084,1.0,4,0.25,0.5,0.25,0.25
1.2,0.0068,1.0,4,0.25,0.5,0.25,0.25
1.3,0.0052,1.0,4,0.25,0.5,0.25,0.25
1.4,0.0036,1.0,4,0.25,0.5,0.25,0.25
1.5,0.002,1.0,4,0.25,0.75,0.25,0.5
1.6,0.00166,1.0,4,0.25,0.75,0.25,0.5
1.7,0.00132,1.0,4,0.25,0.75,0.25,0.5
1.8,0.00098,1.0,4,0.25,0.75,0.25,0.5
1.9,0.00064,1.0,4,0.25,0.75,0.25,0.5
2.0,0.0003,1.0,4,0.25,0.75,0.25,0.5
2.1,0.000244,0.94607553,4,0.25,0.75,0.25,0.5
2.2,0.000188,0.89215107,4,0.25,0.75,0.25,0.5
2.3,0.000132,0.83822661,4,0.25,0.75,0.25,0.5
2.4,7.6e-05,0.78430214,4,0.25,1.0,0.25,0.75
2.5,2e-05,0.73037768,4,0.25,1.0,0.25,0.75
2.6,1.61e-05,0.59074953,4,0.25,1.0,0.25,0.75
2.7,1.22e-05,0.45112139,4,0.25,1.0,0.25,0.75
2.8,8.3e-06,0.31149324,4,0.25,1.0,0.25,0.75
2.9,4.4e-06,0.1718651,4,0.25,1.0,0.25,0.75
3.0,5e-07,0.03223695,4,0.5,1.0,0.5,0.5
3.1,4e-07,0.02592059,4,0.5,1.0,0.5,0.5
3.2,3e-07,0.01960423,4,0.5,1.0,0.5,0.5
3.3,2.1e-07,0.01328787,4,0.5,1.0,0.5,0.5
3.4,1.1e-07,0.00697151,4,0.5,1.0,0.5,0.5
3.5,1e-08,0.00065515,4,0.75,1.0,0.75,0.25
3.6,1e-08,0.00052543,4,0.75,1.0,0.75,0.25
3.7,1e-08,0.00039571,4,0.75,1.0,0.75,0.25
3.8,0.0,0.00026599,4,0.75,1.0,0.75,0.25
3.9,0.0,0.00013627,4,0.75,1.0,0.75,0.25
4.0,0.0,6.55e-06,4,1.0,1.0,1.0,0.0
4.1,0.0,5.9e-06,4,1.0,1.0,1.0,0.0
4.2,0.0,5.24e-06,4,1.0,1.0,1.0,0.0
4.3,0.0,4.59e-06,4,1.0,1.0,1.0,0.0
4.4,0.0,3.93e-06,4,1.0,1.0,1.0,0.0
4.5,0.0,3.28e-06,4,1.0,1.0,1.0,0.0
4.6,0.0,2.62e-06,4,1.0,1.0,1.0,0.0
4.7,0.0,1.97e-06,4,1.0,1.0,1.0,0.0
4.8,0.0,1.31e-06,4,1.0,1.0,1.0,0.0
4.9,0.0,6.6e-07,4,1.0,1.0,1.0,0.0
5.0,0.0,0.0,4,1.0,1.0,1.0,0.0
-1.0,0.2,1.0,8,0.125,0.25,0.125,0.125
-0.9,0.19,1.0,8,0.125,0.25,0.125,0.125
-0.8,0.18,1.0,8,0.125,0.25,0.125,0.125
-0.7,0.17,1.0,8,0.125,0.25,0.125,0.125
-0.6,0.16,1.0,8,0.125,0.25,0.125,0.125
-0.5,0.15,1.0,8,0.125,0.25,0.125,0.125
-0.4,0.14,1.0,8,0.125,0.25,0.125,0.125
-0.3,0.13,1.0,8,0.125,0.25,0.125,0.125
-0.2,0.12,1.0,8,0.125,0.25,0.125,0.125
-0.1,0.11,1.0,8,0.125,0.25,0.125,0.125
-0.0,0.1,1.0,8,0.125,0.25,0.125,0.125
0.1,0.09,1.0,8,0.125,0.25,0.125,0.125
0.2,0.08,1.0,8,0.125,0.25,0.125,0.125
0.3,0.07,1.0,8,0.125,0.375,0.125,0.25
0.4,0.06,1.0,8,0.125,0.375,0.125,0.25
0.5,0.05,1.0,8,0.125,0.375,0.125,0.25
0.6,0.042,1.0,8,0.125,0.375,0.125,0.25
0.7,0.034,1.0,8,0.125,0.375,0.125,0.25
0.8,0.026,1.0,8,0.125,0.375,0.125,0.25
0.9,0.018,1.0,8,0.125,0.5,0.125,0.375
1.0,0.01,1.0,8,0.125,0.5,0.125,0.375
1.1,0.0084,1.0,8,0.125,0.5,0.125,0.375
1.2,0.0068,1.0,8,0.125,0.5,0.125,0.375
1.3,0.0052,1.0,8,0.125,0.5,0.125,0.375
1.4,0.0036,1.0,8,0.125,0.625,0.125,0.5
1.5,0.002,1.0,8,0.125,0.625,0.125,0.5
1.6,0.00166,1.0,8,0.125,0.625,0.125,0.5
1.7,0.00132,1.0,8,0.125,0.75,0.125,0.625
1.8,0.00098,1.0,8,0.125,0.75,0.125,0.625
1.9,0.00064,1.0,8,0.125,0.75,0.125,0.625
2.0,0.0003,1.0,8,0.125,0.875,0.125,0.75
2.1,0.000244,0.94607553,8,0.125,0.875,0.125,0.75
2.2,0.000188,0.89215107,8,0.125,0.875,0.125,0.75
2.3,0.000132,0.83822661,8,0.125,0.875,0.125,0.75
2.4,7.6e-05,0.78430214,8,0.125,1.0,0.125,0.875
2.5,2e-05,0.73037768,8,0.125,1.0,0.125,0.875
2.6,1.61e-05,0.59074953,8,0.125,1.0,0.125,0.875
2.7,1.22e-05,0.45112139,8,0.125,1.0,0.125,0.875
