domain,k,n_axis_points,breakpoints,step_tau,location_error,grid_spacing,err_over_spacing
turbo,4,61,3,,,,
turbo,8,61,6,,,,
turbo,16,61,11,,,,
turbo,32,61,15,,,,
turbo,64,61,17,,,,
turbo,128,61,19,,,,
turbo,256,61,20,,,,
turbo,512,61,20,,,,
turbo,1024,61,20,,,,
turbo,2048,61,20,,,,
turbo,4096,61,20,,,,
ising,4,4,1,0.375,0.04115672773590551,0.125,0.32925382188724406
ising,8,8,1,0.375,0.04115672773590551,0.0625,0.6585076437744881
ising,16,16,1,0.34375,0.009906727735905507,0.03125,0.31701528754897623
ising,32,32,1,0.34375,0.009906727735905507,0.015625,0.6340305750979525
ising,64,64,1,0.3359375,0.0020942277359055073,0.0078125,0.26806115019590493
ising,128,128,1,0.3359375,0.0020942277359055073,0.00390625,0.5361223003918099
ising,256,256,1,0.333984375,0.00014110273590550726,0.001953125,0.07224460078361972
ising,512,512,1,0.333984375,0.00014110273590550726,0.0009765625,0.14448920156723943
ising,1024,1024,1,0.333984375,0.00014110273590550726,0.00048828125,0.28897840313447887
ising,2048,2048,1,0.333984375,0.00014110273590550726,0.000244140625,0.5779568062689577
ising,4096,4096,1,0.3338623046875,1.903242340550726e-05,0.0001220703125,0.15591361253791547
faa,4,126,4,,,,
faa,8,126,8,,,,
faa,16,126,16,,,,
faa,32,126,32,,,,
faa,64,126,64,,,,
faa,128,126,64,,,,
faa,256,126,64,,,,
faa,512,126,64,,,,
faa,1024,126,64,,,,
faa,2048,126,64,,,,
faa,4096,126,64,,,,
