domain,case,chain,chain_length,emit,emit_rank
ils,all_open,standard_4lvl,4,REF,2
ils,all_open,B1_empty_5lvl,5,REF,2
ils,all_open,B2_refined_5lvl,5,REF,2
ils,sig_bounded,standard_4lvl,4,REF,2
ils,sig_bounded,B1_empty_5lvl,5,REF,2
ils,sig_bounded,B2_refined_5lvl,5,ROL,6
ils,sig_closed,standard_4lvl,4,DIA,7
ils,sig_closed,B1_empty_5lvl,5,DIA,7
ils,sig_closed,B2_refined_5lvl,5,DIA,7
ils,sig_vis,standard_4lvl,4,REV,8
ils,sig_vis,B1_empty_5lvl,5,REV,8
ils,sig_vis,B2_refined_5lvl,5,REV,8
ils,all_closed,standard_4lvl,4,ALR,10
ils,all_closed,B1_empty_5lvl,5,ALR,10
ils,all_closed,B2_refined_5lvl,5,ALR,10
epic,all_open,standard_5lvl,5,DIA,7
epic,all_open,B1_empty_6lvl,6,DIA,7
epic,all_open,B2_refined_6lvl,6,ROL,6
epic,freshness_bounded_only,standard_5lvl,5,DIA,7
epic,freshness_bounded_only,B1_empty_6lvl,6,DIA,7
epic,freshness_bounded_only,B2_refined_6lvl,6,DIA,7
epic,AQ_bounded_only,standard_5lvl,5,REV,8
epic,AQ_bounded_only,B1_empty_6lvl,6,REV,8
epic,AQ_bounded_only,B2_refined_6lvl,6,REV,8
epic,AQ_and_freshness,standard_5lvl,5,AEX,9
epic,AQ_and_freshness,B1_empty_6lvl,6,AEX,9
epic,AQ_and_freshness,B2_refined_6lvl,6,AEX,9
epic,all_bounded,standard_5lvl,5,ALR,10
epic,all_bounded,B1_empty_6lvl,6,ALR,10
epic,all_bounded,B2_refined_6lvl,6,ALR,10
