beta,functional,tv_value,tau,permission,breakpoint_tau,f1_val,f4_val,ordering_holds,auth_gap_width
0.2,F1_mean,0.013,0.0,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.001,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.002,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.003,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.004,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.005,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.006,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.007,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.008,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.009,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.01,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.011,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.012,REFUSE,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.013,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.014,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.015,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.016,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.017,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.018,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.019,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.02,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.021,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.022,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.023,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.024,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0251,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0261,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0271,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0281,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0291,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0301,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0311,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0321,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0331,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0341,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0351,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0361,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0371,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0381,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0391,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0401,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0411,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0421,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0431,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0441,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0451,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0461,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0471,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0481,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0491,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0501,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0511,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0521,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0531,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0541,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0551,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0561,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0571,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0581,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0591,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0601,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0611,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0621,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0631,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0641,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0651,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0661,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0671,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0681,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0691,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0701,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0711,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0721,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0731,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0741,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0752,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0762,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0772,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0782,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0792,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0802,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0812,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0822,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0832,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0842,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0852,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0862,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0872,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0882,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0892,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0902,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0912,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0922,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0932,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0942,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0952,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0962,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0972,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0982,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.0992,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1002,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1012,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1022,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1032,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1042,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1052,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1062,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1072,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1082,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1092,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1102,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1112,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1122,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1132,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1142,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1152,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1162,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1172,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1182,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1192,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1202,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1212,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1222,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1232,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1242,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1253,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1263,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1273,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1283,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1293,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1303,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1313,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1323,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1333,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1343,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1353,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1363,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1373,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1383,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1393,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1403,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1413,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1423,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1433,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1443,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1453,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1463,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1473,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1483,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1493,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1503,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1513,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1523,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1533,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1543,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1553,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1563,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1573,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1583,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1593,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1603,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1613,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1623,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1633,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1643,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1653,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1663,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1673,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1683,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1693,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1703,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1713,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1723,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1733,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1743,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1754,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1764,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1774,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1784,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1794,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1804,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1814,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1824,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1834,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1844,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1854,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1864,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1874,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1884,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1894,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1904,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1914,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1924,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1934,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1944,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1954,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1964,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1974,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1984,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.1994,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2004,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2014,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2024,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2034,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2044,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2054,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2064,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2074,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2084,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2094,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2104,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2114,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2124,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2134,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2144,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2154,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2164,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2174,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2184,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2194,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2204,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2214,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2224,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2234,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2244,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2255,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2265,ACT,0.013,0.013,0.033164,1,0.020164
