snr_db,T1_ber,T2_ber_plus_sigma,T3_bler,perm_T1,perm_T2,perm_T3,ordering_holds,sigma_ber
-1.0,0.2,0.2015625,1.0,REFUSE,REFUSE,REFUSE,1,0.0015625
-0.9,0.19,0.19153243,1.0,REFUSE,REFUSE,REFUSE,1,0.0015324254
-0.8,0.18,0.18150073,1.0,REFUSE,REFUSE,REFUSE,1,0.0015007322
-0.7,0.17,0.17146732,1.0,REFUSE,REFUSE,REFUSE,1,0.0014673156
-0.6,0.16,0.16143205,1.0,REFUSE,REFUSE,REFUSE,1,0.0014320549
-0.5,0.15,0.15139481,1.0,REFUSE,REFUSE,REFUSE,1,0.0013948102
-0.4,0.14,0.14135542,1.0,REFUSE,REFUSE,REFUSE,1,0.0013554181
-0.3,0.13,0.13131369,1.0,REFUSE,REFUSE,REFUSE,1,0.0013136853
-0.2,0.12,0.12126938,1.0,REFUSE,REFUSE,REFUSE,1,0.001269381
-0.1,0.11,0.11122223,1.0,REFUSE,REFUSE,REFUSE,1,0.0012222256
-0.0,0.1,0.10117188,1.0,HOLD,REFUSE,REFUSE,1,0.001171875
0.1,0.09,0.0911179,1.0,HOLD,HOLD,REFUSE,1,0.0011178975
0.2,0.08,0.08105974,1.0,HOLD,HOLD,REFUSE,1,0.0010597391
0.3,0.07,0.07099667,1.0,HOLD,HOLD,REFUSE,1,0.000996668
0.4,0.06,0.06092768,1.0,HOLD,HOLD,REFUSE,1,0.000927683
0.5,0.05,0.05085135,1.0,HOLD,HOLD,REFUSE,1,0.0008513474
0.6,0.042,0.04278355,1.0,HOLD,HOLD,REFUSE,1,0.0007835513
0.7,0.034,0.03470793,1.0,HOLD,HOLD,REFUSE,1,0.0007079263
0.8,0.026,0.02662162,1.0,HOLD,HOLD,REFUSE,1,0.0006216217
0.9,0.018,0.01851934,1.0,TRANSMIT_MONITORED,TRANSMIT_MONITORED,REFUSE,1,0.0005193403
1.0,0.01,0.01038867,1.0,TRANSMIT_MONITORED,TRANSMIT_MONITORED,REFUSE,1,0.000388667
1.1,0.0084,0.00875651,1.0,TRANSMIT_MONITORED,TRANSMIT_MONITORED,REFUSE,1,0.0003565069
1.2,0.0068,0.00712102,1.0,TRANSMIT_MONITORED,TRANSMIT_MONITORED,REFUSE,1,0.0003210206
1.3,0.0052,0.00548095,1.0,TRANSMIT_MONITORED,TRANSMIT_MONITORED,REFUSE,1,0.0002809504
1.4,0.0036,0.00383395,1.0,TRANSMIT_MONITORED,TRANSMIT_MONITORED,REFUSE,1,0.0002339527
1.5,0.002,0.00217452,1.0,TRANSMIT_MONITORED,TRANSMIT_MONITORED,REFUSE,1,0.000174518
1.6,0.00166,0.00181902,1.0,TRANSMIT_MONITORED,TRANSMIT_MONITORED,REFUSE,1,0.0001590206
1.7,0.00132,0.00146183,1.0,TRANSMIT_MONITORED,TRANSMIT_MONITORED,REFUSE,1,0.0001418274
1.8,0.00098,0.00110223,1.0,TRANSMIT,TRANSMIT_MONITORED,REFUSE,1,0.000122225
1.9,0.00064,0.00073879,1.0,TRANSMIT,TRANSMIT,REFUSE,1,9.87895e-05
2.0,0.0003,0.00036765,1.0,TRANSMIT,TRANSMIT,REFUSE,1,6.76481e-05
2.1,0.000244,0.00030501,0.94607553,TRANSMIT,TRANSMIT,REFUSE,1,6.10101e-05
2.2,0.000188,0.00024155,0.89215107,TRANSMIT,TRANSMIT,REFUSE,1,5.35548e-05
2.3,0.000132,0.00017688,0.83822661,TRANSMIT,TRANSMIT,REFUSE,1,4.48764e-05
2.4,7.6e-05,0.00011005,0.78430214,TRANSMIT,TRANSMIT,REFUSE,1,3.40526e-05
