path,case_id,family,step_idx,level,admissible,k,perm_m,C_mn,A_e_perm,A_e,gap,sound,monotone_step,monotone_k
A_canonical,M01,induction,0,5,0,4,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M01,induction,0,5,0,8,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M01,induction,0,5,0,16,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M01,induction,0,5,0,32,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M01,induction,0,5,0,64,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M02,induction,0,5,0,4,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M02,induction,0,5,0,8,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M02,induction,0,5,0,16,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M02,induction,0,5,0,32,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M02,induction,0,5,0,64,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M03,induction,0,5,0,4,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M03,induction,0,5,0,8,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M03,induction,0,5,0,16,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M03,induction,0,5,0,32,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M03,induction,0,5,0,64,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M04,induction,0,5,0,4,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M04,induction,0,5,0,8,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M04,induction,0,5,0,16,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M04,induction,0,5,0,32,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M04,induction,0,5,0,64,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M05,induction,0,5,0,4,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M05,induction,0,5,0,8,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M05,induction,0,5,0,16,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M05,induction,0,5,0,32,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M05,induction,0,5,0,64,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M06,induction,0,5,0,4,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M06,induction,0,5,0,8,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M06,induction,0,5,0,16,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M06,induction,0,5,0,32,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M06,induction,0,5,0,64,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,M07,induction,0,5,0,4,AEX,0.75,AEX,0.75,0.0,1,1,1
