beta,tau,tv_mean,tv_max,perm_mean,perm_max,gap,incompleteness_mean,incompleteness_max,auth_gap_width
0.44,0.0,0.223061,0.333843,REFUSE,REFUSE,0,0.223061,0.333843,0.110782
0.44,0.0025,0.223061,0.333843,REFUSE,REFUSE,0,0.220549,0.331331,0.110782
0.44,0.005,0.223061,0.333843,REFUSE,REFUSE,0,0.218036,0.328818,0.110782
0.44,0.0075,0.223061,0.333843,REFUSE,REFUSE,0,0.215524,0.326306,0.110782
0.44,0.0101,0.223061,0.333843,REFUSE,REFUSE,0,0.213011,0.323793,0.110782
0.44,0.0126,0.223061,0.333843,REFUSE,REFUSE,0,0.210498,0.32128,0.110782
0.44,0.0151,0.223061,0.333843,REFUSE,REFUSE,0,0.207986,0.318768,0.110782
0.44,0.0176,0.223061,0.333843,REFUSE,REFUSE,0,0.205473,0.316255,0.110782
0.44,0.0201,0.223061,0.333843,REFUSE,REFUSE,0,0.202961,0.313743,0.110782
0.44,0.0226,0.223061,0.333843,REFUSE,REFUSE,0,0.200448,0.31123,0.110782
0.44,0.0251,0.223061,0.333843,REFUSE,REFUSE,0,0.197936,0.308718,0.110782
0.44,0.0276,0.223061,0.333843,REFUSE,REFUSE,0,0.195423,0.306205,0.110782
0.44,0.0302,0.223061,0.333843,REFUSE,REFUSE,0,0.19291,0.303693,0.110782
0.44,0.0327,0.223061,0.333843,REFUSE,REFUSE,0,0.190398,0.30118,0.110782
0.44,0.0352,0.223061,0.333843,REFUSE,REFUSE,0,0.187885,0.298667,0.110782
0.44,0.0377,0.223061,0.333843,REFUSE,REFUSE,0,0.185373,0.296155,0.110782
0.44,0.0402,0.223061,0.333843,REFUSE,REFUSE,0,0.18286,0.293642,0.110782
0.44,0.0427,0.223061,0.333843,REFUSE,REFUSE,0,0.180348,0.29113,0.110782
0.44,0.0452,0.223061,0.333843,REFUSE,REFUSE,0,0.177835,0.288617,0.110782
0.44,0.0477,0.223061,0.333843,REFUSE,REFUSE,0,0.175323,0.286105,0.110782
0.44,0.0503,0.223061,0.333843,REFUSE,REFUSE,0,0.17281,0.283592,0.110782
0.44,0.0528,0.223061,0.333843,REFUSE,REFUSE,0,0.170297,0.281079,0.110782
0.44,0.0553,0.223061,0.333843,REFUSE,REFUSE,0,0.167785,0.278567,0.110782
0.44,0.0578,0.223061,0.333843,REFUSE,REFUSE,0,0.165272,0.276054,0.110782
0.44,0.0603,0.223061,0.333843,REFUSE,REFUSE,0,0.16276,0.273542,0.110782
0.44,0.0628,0.223061,0.333843,REFUSE,REFUSE,0,0.160247,0.271029,0.110782
0.44,0.0653,0.223061,0.333843,REFUSE,REFUSE,0,0.157735,0.268517,0.110782
0.44,0.0678,0.223061,0.333843,REFUSE,REFUSE,0,0.155222,0.266004,0.110782
0.44,0.0704,0.223061,0.333843,REFUSE,REFUSE,0,0.152709,0.263492,0.110782
0.44,0.0729,0.223061,0.333843,REFUSE,REFUSE,0,0.150197,0.260979,0.110782
0.44,0.0754,0.223061,0.333843,REFUSE,REFUSE,0,0.147684,0.258466,0.110782
0.44,0.0779,0.223061,0.333843,REFUSE,REFUSE,0,0.145172,0.255954,0.110782
0.44,0.0804,0.223061,0.333843,REFUSE,REFUSE,0,0.142659,0.253441,0.110782
0.44,0.0829,0.223061,0.333843,REFUSE,REFUSE,0,0.140147,0.250929,0.110782
0.44,0.0854,0.223061,0.333843,REFUSE,REFUSE,0,0.137634,0.248416,0.110782
0.44,0.0879,0.223061,0.333843,REFUSE,REFUSE,0,0.135122,0.245904,0.110782
0.44,0.0905,0.223061,0.333843,REFUSE,REFUSE,0,0.132609,0.243391,0.110782
0.44,0.093,0.223061,0.333843,REFUSE,REFUSE,0,0.130096,0.240878,0.110782
0.44,0.0955,0.223061,0.333843,REFUSE,REFUSE,0,0.127584,0.238366,0.110782
0.44,0.098,0.223061,0.333843,REFUSE,REFUSE,0,0.125071,0.235853,0.110782
0.44,0.1005,0.223061,0.333843,REFUSE,REFUSE,0,0.122559,0.233341,0.110782
0.44,0.103,0.223061,0.333843,REFUSE,REFUSE,0,0.120046,0.230828,0.110782
0.44,0.1055,0.223061,0.333843,REFUSE,REFUSE,0,0.117534,0.228316,0.110782
0.44,0.108,0.223061,0.333843,REFUSE,REFUSE,0,0.115021,0.225803,0.110782
0.44,0.1106,0.223061,0.333843,REFUSE,REFUSE,0,0.112508,0.223291,0.110782
0.44,0.1131,0.223061,0.333843,REFUSE,REFUSE,0,0.109996,0.220778,0.110782
0.44,0.1156,0.223061,0.333843,REFUSE,REFUSE,0,0.107483,0.218265,0.110782
0.44,0.1181,0.223061,0.333843,REFUSE,REFUSE,0,0.104971,0.215753,0.110782
0.44,0.1206,0.223061,0.333843,REFUSE,REFUSE,0,0.102458,0.21324,0.110782
0.44,0.1231,0.223061,0.333843,REFUSE,REFUSE,0,0.099946,0.210728,0.110782
0.44,0.1256,0.223061,0.333843,REFUSE,REFUSE,0,0.097433,0.208215,0.110782
0.44,0.1281,0.223061,0.333843,REFUSE,REFUSE,0,0.094921,0.205703,0.110782
0.44,0.1307,0.223061,0.333843,REFUSE,REFUSE,0,0.092408,0.20319,0.110782
0.44,0.1332,0.223061,0.333843,REFUSE,REFUSE,0,0.089895,0.200677,0.110782
0.44,0.1357,0.223061,0.333843,REFUSE,REFUSE,0,0.087383,0.198165,0.110782
0.44,0.1382,0.223061,0.333843,REFUSE,REFUSE,0,0.08487,0.195652,0.110782
0.44,0.1407,0.223061,0.333843,REFUSE,REFUSE,0,0.082358,0.19314,0.110782
0.44,0.1432,0.223061,0.333843,REFUSE,REFUSE,0,0.079845,0.190627,0.110782
0.44,0.1457,0.223061,0.333843,REFUSE,REFUSE,0,0.077333,0.188115,0.110782
0.44,0.1482,0.223061,0.333843,REFUSE,REFUSE,0,0.07482,0.185602,0.110782
0.44,0.1508,0.223061,0.333843,REFUSE,REFUSE,0,0.072307,0.18309,0.110782
0.44,0.1533,0.223061,0.333843,REFUSE,REFUSE,0,0.069795,0.180577,0.110782
0.44,0.1558,0.223061,0.333843,REFUSE,REFUSE,0,0.067282,0.178064,0.110782
0.44,0.1583,0.223061,0.333843,REFUSE,REFUSE,0,0.06477,0.175552,0.110782
0.44,0.1608,0.223061,0.333843,REFUSE,REFUSE,0,0.062257,0.173039,0.110782
0.44,0.1633,0.223061,0.333843,REFUSE,REFUSE,0,0.059745,0.170527,0.110782
0.44,0.1658,0.223061,0.333843,REFUSE,REFUSE,0,0.057232,0.168014,0.110782
0.44,0.1683,0.223061,0.333843,REFUSE,REFUSE,0,0.05472,0.165502,0.110782
0.44,0.1709,0.223061,0.333843,REFUSE,REFUSE,0,0.052207,0.162989,0.110782
0.44,0.1734,0.223061,0.333843,REFUSE,REFUSE,0,0.049694,0.160476,0.110782
0.44,0.1759,0.223061,0.333843,REFUSE,REFUSE,0,0.047182,0.157964,0.110782
0.44,0.1784,0.223061,0.333843,REFUSE,REFUSE,0,0.044669,0.155451,0.110782
0.44,0.1809,0.223061,0.333843,REFUSE,REFUSE,0,0.042157,0.152939,0.110782
0.44,0.1834,0.223061,0.333843,REFUSE,REFUSE,0,0.039644,0.150426,0.110782
0.44,0.1859,0.223061,0.333843,REFUSE,REFUSE,0,0.037132,0.147914,0.110782
0.44,0.1884,0.223061,0.333843,REFUSE,REFUSE,0,0.034619,0.145401,0.110782
0.44,0.191,0.223061,0.333843,REFUSE,REFUSE,0,0.032106,0.142888,0.110782
0.44,0.1935,0.223061,0.333843,REFUSE,REFUSE,0,0.029594,0.140376,0.110782
0.44,0.196,0.223061,0.333843,REFUSE,REFUSE,0,0.027081,0.137863,0.110782
0.44,0.1985,0.223061,0.333843,REFUSE,REFUSE,0,0.024569,0.135351,0.110782
0.44,0.201,0.223061,0.333843,REFUSE,REFUSE,0,0.022056,0.132838,0.110782
0.44,0.2035,0.223061,0.333843,REFUSE,REFUSE,0,0.019544,0.130326,0.110782
0.44,0.206,0.223061,0.333843,REFUSE,REFUSE,0,0.017031,0.127813,0.110782
0.44,0.2085,0.223061,0.333843,REFUSE,REFUSE,0,0.014519,0.125301,0.110782
