snr_db,ber,bler,perm_ber,perm_bler,gap,incompleteness_ber,incompleteness_bler,auth_gap_width
-1.0,0.2,1.0,REFUSE,REFUSE,0,0.0,0.0,0.8
-0.9,0.19,1.0,REFUSE,REFUSE,0,0.0,0.0,0.81
-0.8,0.18,1.0,REFUSE,REFUSE,0,0.0,0.0,0.82
-0.7,0.17,1.0,REFUSE,REFUSE,0,0.0,0.0,0.83
-0.6,0.16,1.0,REFUSE,REFUSE,0,0.0,0.0,0.84
-0.5,0.15,1.0,REFUSE,REFUSE,0,0.0,0.0,0.85
-0.4,0.14,1.0,REFUSE,REFUSE,0,0.0,0.0,0.86
-0.3,0.13,1.0,REFUSE,REFUSE,0,0.0,0.0,0.87
-0.2,0.12,1.0,REFUSE,REFUSE,0,0.0,0.0,0.88
-0.1,0.11,1.0,REFUSE,REFUSE,0,0.0,0.0,0.89
-0.0,0.1,1.0,HOLD,REFUSE,1,0.08,0.0,0.9
0.1,0.09,1.0,HOLD,REFUSE,1,0.07,0.0,0.91
0.2,0.08,1.0,HOLD,REFUSE,1,0.06,0.0,0.92
0.3,0.07,1.0,HOLD,REFUSE,1,0.05,0.0,0.93
0.4,0.06,1.0,HOLD,REFUSE,1,0.04,0.0,0.94
0.5,0.05,1.0,HOLD,REFUSE,1,0.03,0.0,0.95
0.6,0.042,1.0,HOLD,REFUSE,1,0.022,0.0,0.958
0.7,0.034,1.0,HOLD,REFUSE,1,0.014,0.0,0.966
0.8,0.026,1.0,HOLD,REFUSE,1,0.006,0.0,0.974
0.9,0.018,1.0,TRANSMIT_MONITORED,REFUSE,1,0.017,0.0,0.982
1.0,0.01,1.0,TRANSMIT_MONITORED,REFUSE,1,0.009,0.0,0.99
1.1,0.0084,1.0,TRANSMIT_MONITORED,REFUSE,1,0.0074,0.0,0.9916
1.2,0.0068,1.0,TRANSMIT_MONITORED,REFUSE,1,0.0058,0.0,0.9932
1.3,0.0052,1.0,TRANSMIT_MONITORED,REFUSE,1,0.0042,0.0,0.9948
1.4,0.0036,1.0,TRANSMIT_MONITORED,REFUSE,1,0.0026,0.0,0.9964
1.5,0.002,1.0,TRANSMIT_MONITORED,REFUSE,1,0.001,0.0,0.998
1.6,0.00166,1.0,TRANSMIT_MONITORED,REFUSE,1,0.00066,0.0,0.99834
1.7,0.00132,1.0,TRANSMIT_MONITORED,REFUSE,1,0.00032,0.0,0.99868
1.8,0.00098,1.0,TRANSMIT,REFUSE,1,0.0,0.0,0.99902
1.9,0.00064,1.0,TRANSMIT,REFUSE,1,0.0,0.0,0.99936
2.0,0.0003,1.0,TRANSMIT,REFUSE,1,0.0,0.0,0.9997
2.1,0.000244,0.94607553,TRANSMIT,REFUSE,1,0.0,0.0,0.94583153
2.2,0.000188,0.89215107,TRANSMIT,REFUSE,1,0.0,0.0,0.89196307
2.3,0.000132,0.83822661,TRANSMIT,REFUSE,1,0.0,0.0,0.83809461
2.4,7.6e-05,0.78430214,TRANSMIT,REFUSE,1,0.0,0.0,0.78422614
2.5,2e-05,0.73037768,TRANSMIT,REFUSE,1,0.0,0.0,0.73035768
2.6,1.61e-05,0.59074953,TRANSMIT,REFUSE,1,0.0,0.0,0.59073343
2.7,1.22e-05,0.45112139,TRANSMIT,REFUSE,1,0.0,0.0,0.45110919
2.8,8.3e-06,0.31149324,TRANSMIT,REFUSE,1,0.0,0.0,0.31148494
2.9,4.4e-06,0.1718651,TRANSMIT,REFUSE,1,0.0,0.0,0.1718607
3.0,5e-07,0.03223695,TRANSMIT,HOLD,1,0.0,0.01223695,0.03223645
3.1,4e-07,0.02592059,TRANSMIT,HOLD,1,0.0,0.00592059,0.02592019
3.2,3e-07,0.01960423,TRANSMIT,TRANSMIT_MONITORED,1,0.0,0.01860423,0.01960393
3.3,2.1e-07,0.01328787,TRANSMIT,TRANSMIT_MONITORED,1,0.0,0.01228787,0.01328766
3.4,1.1e-07,0.00697151,TRANSMIT,TRANSMIT_MONITORED,1,0.0,0.00597151,0.0069714
3.5,1e-08,0.00065515,TRANSMIT,TRANSMIT,0,0.0,0.0,0.00065514
3.6,1e-08,0.00052543,TRANSMIT,TRANSMIT,0,0.0,0.0,0.00052542
3.7,1e-08,0.00039571,TRANSMIT,TRANSMIT,0,0.0,0.0,0.0003957
3.8,0.0,0.00026599,TRANSMIT,TRANSMIT,0,0.0,0.0,0.00026599
3.9,0.0,0.00013627,TRANSMIT,TRANSMIT,0,0.0,0.0,0.00013627
4.0,0.0,6.55e-06,TRANSMIT,TRANSMIT,0,0.0,0.0,6.55e-06
4.1,0.0,5.9e-06,TRANSMIT,TRANSMIT,0,0.0,0.0,5.9e-06
4.2,0.0,5.24e-06,TRANSMIT,TRANSMIT,0,0.0,0.0,5.24e-06
4.3,0.0,4.59e-06,TRANSMIT,TRANSMIT,0,0.0,0.0,4.59e-06
4.4,0.0,3.93e-06,TRANSMIT,TRANSMIT,0,0.0,0.0,3.93e-06
4.5,0.0,3.28e-06,TRANSMIT,TRANSMIT,0,0.0,0.0,3.28e-06
4.6,0.0,2.62e-06,TRANSMIT,TRANSMIT,0,0.0,0.0,2.62e-06
4.7,0.0,1.97e-06,TRANSMIT,TRANSMIT,0,0.0,0.0,1.97e-06
4.8,0.0,1.31e-06,TRANSMIT,TRANSMIT,0,0.0,0.0,1.31e-06
4.9,0.0,6.6e-07,TRANSMIT,TRANSMIT,0,0.0,0.0,6.6e-07
5.0,0.0,0.0,TRANSMIT,TRANSMIT,0,0.0,0.0,0.0
