path,case_id,level,level_name,n_gaps,k,perm_m,C_mn,A_e,gap,sound,monotone_m,monotone_n
resolving,M01,4,L4_evidence_currency,5,4,REV,0.25,0.65625,0.40625,1,1,1
resolving,M01,4,L4_evidence_currency,5,8,REV,0.25,0.65625,0.40625,1,1,1
resolving,M01,4,L4_evidence_currency,5,16,REV,0.3125,0.65625,0.34375,1,1,1
resolving,M01,4,L4_evidence_currency,5,32,REV,0.3125,0.65625,0.34375,1,1,1
resolving,M01,4,L4_evidence_currency,5,64,REV,0.328125,0.65625,0.328125,1,1,1
resolving,M02,4,L4_evidence_currency,5,4,REV,0.25,0.65625,0.40625,1,1,1
resolving,M02,4,L4_evidence_currency,5,8,REV,0.25,0.65625,0.40625,1,1,1
resolving,M02,4,L4_evidence_currency,5,16,REV,0.3125,0.65625,0.34375,1,1,1
resolving,M02,4,L4_evidence_currency,5,32,REV,0.3125,0.65625,0.34375,1,1,1
resolving,M02,4,L4_evidence_currency,5,64,REV,0.328125,0.65625,0.328125,1,1,1
resolving,M01,3,L3_deployment_control,6,4,AEX,0.5,0.65625,0.15625,1,1,1
resolving,M01,3,L3_deployment_control,6,8,AEX,0.625,0.65625,0.03125,1,1,1
resolving,M01,3,L3_deployment_control,6,16,AEX,0.625,0.65625,0.03125,1,1,1
resolving,M01,3,L3_deployment_control,6,32,AEX,0.65625,0.65625,0.0,1,1,1
resolving,M01,3,L3_deployment_control,6,64,AEX,0.65625,0.65625,0.0,1,1,1
resolving,M02,3,L3_deployment_control,6,4,AEX,0.5,0.65625,0.15625,1,1,1
resolving,M02,3,L3_deployment_control,6,8,AEX,0.625,0.65625,0.03125,1,1,1
resolving,M02,3,L3_deployment_control,6,16,AEX,0.625,0.65625,0.03125,1,1,1
resolving,M02,3,L3_deployment_control,6,32,AEX,0.65625,0.65625,0.0,1,1,1
resolving,M02,3,L3_deployment_control,6,64,AEX,0.65625,0.65625,0.0,1,1,1
resolving,M01,2,L2_population_scope,7,4,AEX,0.5,0.65625,0.15625,1,1,1
resolving,M01,2,L2_population_scope,7,8,AEX,0.625,0.65625,0.03125,1,1,1
resolving,M01,2,L2_population_scope,7,16,AEX,0.625,0.65625,0.03125,1,1,1
resolving,M01,2,L2_population_scope,7,32,AEX,0.65625,0.65625,0.0,1,1,1
resolving,M01,2,L2_population_scope,7,64,AEX,0.65625,0.65625,0.0,1,1,1
