path,case_id,family,expert_judgment,level,level_name,n_gaps,admissible,k,perm_m,C_mn,A_e,gap,sound,monotone_m,monotone_n
resolving,M01,induction,ALR,4,L4_evidence_currency,5,1,4,REV,0.5,0.75,0.25,1,1,1
resolving,M01,induction,ALR,4,L4_evidence_currency,5,1,8,REV,0.5,0.75,0.25,1,1,1
resolving,M01,induction,ALR,4,L4_evidence_currency,5,1,16,REV,0.5,0.75,0.25,1,1,1
resolving,M01,induction,ALR,4,L4_evidence_currency,5,1,32,REV,0.5,0.75,0.25,1,1,1
resolving,M01,induction,ALR,4,L4_evidence_currency,5,1,64,REV,0.5,0.75,0.25,1,1,1
resolving,M02,induction,REV,4,L4_evidence_currency,5,1,4,REV,0.5,0.75,0.25,1,1,1
resolving,M02,induction,REV,4,L4_evidence_currency,5,1,8,REV,0.5,0.75,0.25,1,1,1
resolving,M02,induction,REV,4,L4_evidence_currency,5,1,16,REV,0.5,0.75,0.25,1,1,1
resolving,M02,induction,REV,4,L4_evidence_currency,5,1,32,REV,0.5,0.75,0.25,1,1,1
resolving,M02,induction,REV,4,L4_evidence_currency,5,1,64,REV,0.5,0.75,0.25,1,1,1
resolving,M03,induction,REV,4,L4_evidence_currency,5,1,4,REV,0.5,0.75,0.25,1,1,1
resolving,M03,induction,REV,4,L4_evidence_currency,5,1,8,REV,0.5,0.75,0.25,1,1,1
resolving,M03,induction,REV,4,L4_evidence_currency,5,1,16,REV,0.5,0.75,0.25,1,1,1
resolving,M03,induction,REV,4,L4_evidence_currency,5,1,32,REV,0.5,0.75,0.25,1,1,1
resolving,M03,induction,REV,4,L4_evidence_currency,5,1,64,REV,0.5,0.75,0.25,1,1,1
resolving,M04,induction,REV,4,L4_evidence_currency,5,1,4,REV,0.5,0.75,0.25,1,1,1
resolving,M04,induction,REV,4,L4_evidence_currency,5,1,8,REV,0.5,0.75,0.25,1,1,1
resolving,M04,induction,REV,4,L4_evidence_currency,5,1,16,REV,0.5,0.75,0.25,1,1,1
resolving,M04,induction,REV,4,L4_evidence_currency,5,1,32,REV,0.5,0.75,0.25,1,1,1
resolving,M04,induction,REV,4,L4_evidence_currency,5,1,64,REV,0.5,0.75,0.25,1,1,1
resolving,M05,induction,REV,4,L4_evidence_currency,5,1,4,REV,0.5,0.75,0.25,1,1,1
resolving,M05,induction,REV,4,L4_evidence_currency,5,1,8,REV,0.5,0.75,0.25,1,1,1
resolving,M05,induction,REV,4,L4_evidence_currency,5,1,16,REV,0.5,0.75,0.25,1,1,1
resolving,M05,induction,REV,4,L4_evidence_currency,5,1,32,REV,0.5,0.75,0.25,1,1,1
resolving,M05,induction,REV,4,L4_evidence_currency,5,1,64,REV,0.5,0.75,0.25,1,1,1
resolving,M06,induction,AEX,4,L4_evidence_currency,5,1,4,REV,0.5,0.75,0.25,1,1,1
resolving,M06,induction,AEX,4,L4_evidence_currency,5,1,8,REV,0.5,0.75,0.25,1,1,1
resolving,M06,induction,AEX,4,L4_evidence_currency,5,1,16,REV,0.5,0.75,0.25,1,1,1
resolving,M06,induction,AEX,4,L4_evidence_currency,5,1,32,REV,0.5,0.75,0.25,1,1,1
resolving,M06,induction,AEX,4,L4_evidence_currency,5,1,64,REV,0.5,0.75,0.25,1,1,1
resolving,M07,induction,AEX,4,L4_evidence_currency,5,1,4,REV,0.5,0.75,0.25,1,1,1
resolving,M07,induction,AEX,4,L4_evidence_currency,5,1,8,REV,0.5,0.75,0.25,1,1,1
resolving,M07,induction,AEX,4,L4_evidence_currency,5,1,16,REV,0.5,0.75,0.25,1,1,1
resolving,M07,induction,AEX,4,L4_evidence_currency,5,1,32,REV,0.5,0.75,0.25,1,1,1
resolving,M07,induction,AEX,4,L4_evidence_currency,5,1,64,REV,0.5,0.75,0.25,1,1,1
resolving,H01,held_out,ALR,4,L4_evidence_currency,5,1,4,REV,0.5,0.75,0.25,1,1,1
resolving,H01,held_out,ALR,4,L4_evidence_currency,5,1,8,REV,0.5,0.75,0.25,1,1,1
resolving,H01,held_out,ALR,4,L4_evidence_currency,5,1,16,REV,0.5,0.75,0.25,1,1,1
resolving,H01,held_out,ALR,4,L4_evidence_currency,5,1,32,REV,0.5,0.75,0.25,1,1,1
resolving,H01,held_out,ALR,4,L4_evidence_currency,5,1,64,REV,0.5,0.75,0.25,1,1,1
resolving,H02,held_out,REV,4,L4_evidence_currency,5,1,4,REV,0.5,0.5,0.0,1,1,1
resolving,H02,held_out,REV,4,L4_evidence_currency,5,1,8,REV,0.5,0.5,0.0,1,1,1
resolving,H02,held_out,REV,4,L4_evidence_currency,5,1,16,REV,0.5,0.5,0.0,1,1,1
resolving,H02,held_out,REV,4,L4_evidence_currency,5,1,32,REV,0.5,0.5,0.0,1,1,1
resolving,H02,held_out,REV,4,L4_evidence_currency,5,1,64,REV,0.5,0.5,0.0,1,1,1
resolving,H03,held_out,DIA,4,L4_evidence_currency,5,1,4,DIA,0.25,0.25,0.0,1,1,1
resolving,H03,held_out,DIA,4,L4_evidence_currency,5,1,8,DIA,0.25,0.25,0.0,1,1,1
resolving,H03,held_out,DIA,4,L4_evidence_currency,5,1,16,DIA,0.25,0.25,0.0,1,1,1
resolving,H03,held_out,DIA,4,L4_evidence_currency,5,1,32,DIA,0.25,0.25,0.0,1,1,1
resolving,H03,held_out,DIA,4,L4_evidence_currency,5,1,64,DIA,0.25,0.25,0.0,1,1,1
resolving,H04,held_out,REV,4,L4_evidence_currency,5,1,4,REV,0.5,0.75,0.25,1,1,1
resolving,H04,held_out,REV,4,L4_evidence_currency,5,1,8,REV,0.5,0.75,0.25,1,1,1
resolving,H04,held_out,REV,4,L4_evidence_currency,5,1,16,REV,0.5,0.75,0.25,1,1,1
resolving,H04,held_out,REV,4,L4_evidence_currency,5,1,32,REV,0.5,0.75,0.25,1,1,1
resolving,H04,held_out,REV,4,L4_evidence_currency,5,1,64,REV,0.5,0.75,0.25,1,1,1
resolving,H05,held_out,REV,4,L4_evidence_currency,5,1,4,REV,0.5,0.75,0.25,1,1,1
resolving,H05,held_out,REV,4,L4_evidence_currency,5,1,8,REV,0.5,0.75,0.25,1,1,1
resolving,H05,held_out,REV,4,L4_evidence_currency,5,1,16,REV,0.5,0.75,0.25,1,1,1
resolving,H05,held_out,REV,4,L4_evidence_currency,5,1,32,REV,0.5,0.75,0.25,1,1,1
resolving,H05,held_out,REV,4,L4_evidence_currency,5,1,64,REV,0.5,0.75,0.25,1,1,1
resolving,S-REF,synthetic_ladder,REF,4,L4_evidence_currency,5,1,4,REF,0.0,0.0,0.0,1,1,1
resolving,S-REF,synthetic_ladder,REF,4,L4_evidence_currency,5,1,8,REF,0.0,0.0,0.0,1,1,1
resolving,S-REF,synthetic_ladder,REF,4,L4_evidence_currency,5,1,16,REF,0.0,0.0,0.0,1,1,1
resolving,S-REF,synthetic_ladder,REF,4,L4_evidence_currency,5,1,32,REF,0.0,0.0,0.0,1,1,1
resolving,S-REF,synthetic_ladder,REF,4,L4_evidence_currency,5,1,64,REF,0.0,0.0,0.0,1,1,1
resolving,S-DIA,synthetic_ladder,DIA,4,L4_evidence_currency,5,1,4,DIA,0.25,0.25,0.0,1,1,1
resolving,S-DIA,synthetic_ladder,DIA,4,L4_evidence_currency,5,1,8,DIA,0.25,0.25,0.0,1,1,1
resolving,S-DIA,synthetic_ladder,DIA,4,L4_evidence_currency,5,1,16,DIA,0.25,0.25,0.0,1,1,1
resolving,S-DIA,synthetic_ladder,DIA,4,L4_evidence_currency,5,1,32,DIA,0.25,0.25,0.0,1,1,1
resolving,S-DIA,synthetic_ladder,DIA,4,L4_evidence_currency,5,1,64,DIA,0.25,0.25,0.0,1,1,1
resolving,S-REV,synthetic_ladder,REV,4,L4_evidence_currency,5,1,4,REV,0.5,0.5,0.0,1,1,1
resolving,S-REV,synthetic_ladder,REV,4,L4_evidence_currency,5,1,8,REV,0.5,0.5,0.0,1,1,1
resolving,S-REV,synthetic_ladder,REV,4,L4_evidence_currency,5,1,16,REV,0.5,0.5,0.0,1,1,1
resolving,S-REV,synthetic_ladder,REV,4,L4_evidence_currency,5,1,32,REV,0.5,0.5,0.0,1,1,1
resolving,S-REV,synthetic_ladder,REV,4,L4_evidence_currency,5,1,64,REV,0.5,0.5,0.0,1,1,1
resolving,S-AEX,synthetic_ladder,AEX,4,L4_evidence_currency,5,1,4,AEX,0.75,0.75,0.0,1,1,1
resolving,S-AEX,synthetic_ladder,AEX,4,L4_evidence_currency,5,1,8,AEX,0.75,0.75,0.0,1,1,1
resolving,S-AEX,synthetic_ladder,AEX,4,L4_evidence_currency,5,1,16,AEX,0.75,0.75,0.0,1,1,1
resolving,S-AEX,synthetic_ladder,AEX,4,L4_evidence_currency,5,1,32,AEX,0.75,0.75,0.0,1,1,1
resolving,S-AEX,synthetic_ladder,AEX,4,L4_evidence_currency,5,1,64,AEX,0.75,0.75,0.0,1,1,1
resolving,S-ALR,synthetic_ladder,ALR,4,L4_evidence_currency,5,1,4,ALR,1.0,1.0,0.0,1,1,1
resolving,S-ALR,synthetic_ladder,ALR,4,L4_evidence_currency,5,1,8,ALR,1.0,1.0,0.0,1,1,1
resolving,S-ALR,synthetic_ladder,ALR,4,L4_evidence_currency,5,1,16,ALR,1.0,1.0,0.0,1,1,1
resolving,S-ALR,synthetic_ladder,ALR,4,L4_evidence_currency,5,1,32,ALR,1.0,1.0,0.0,1,1,1
resolving,S-ALR,synthetic_ladder,ALR,4,L4_evidence_currency,5,1,64,ALR,1.0,1.0,0.0,1,1,1
resolving,W-currency,active_witness,ALR,4,L4_evidence_currency,5,1,4,AEX,0.75,1.0,0.25,1,1,1
resolving,W-currency,active_witness,ALR,4,L4_evidence_currency,5,1,8,AEX,0.75,1.0,0.25,1,1,1
resolving,W-currency,active_witness,ALR,4,L4_evidence_currency,5,1,16,AEX,0.75,1.0,0.25,1,1,1
resolving,W-currency,active_witness,ALR,4,L4_evidence_currency,5,1,32,AEX,0.75,1.0,0.25,1,1,1
