path,case_id,family,expert_judgment,A_e_perm,n_cells,n_sound,n_mon_m,n_mon_n,joint_converged
resolving,M01,induction,ALR,AEX,25,25,25,25,1
resolving,M02,induction,REV,AEX,25,25,25,25,1
resolving,M03,induction,REV,AEX,25,25,25,25,1
resolving,M04,induction,REV,AEX,25,25,25,25,1
resolving,M05,induction,REV,AEX,25,25,25,25,1
resolving,M06,induction,AEX,AEX,25,25,25,25,1
resolving,M07,induction,AEX,AEX,25,25,25,25,1
resolving,H01,held_out,ALR,AEX,25,25,25,25,1
resolving,H02,held_out,REV,REV,25,25,25,25,1
resolving,H03,held_out,DIA,DIA,25,25,25,25,1
resolving,H04,held_out,REV,AEX,25,25,25,25,1
resolving,H05,held_out,REV,AEX,25,25,25,25,1
resolving,S-REF,synthetic_ladder,REF,REF,25,25,25,25,1
resolving,S-DIA,synthetic_ladder,DIA,DIA,25,25,25,25,1
resolving,S-REV,synthetic_ladder,REV,REV,25,25,25,25,1
resolving,S-AEX,synthetic_ladder,AEX,AEX,25,25,25,25,1
resolving,S-ALR,synthetic_ladder,ALR,ALR,25,25,25,25,1
resolving,W-currency,active_witness,ALR,ALR,25,25,25,25,1
resolving,W-deployment,active_witness,ALR,ALR,25,25,25,25,1
resolving,W-population,active_witness,ALR,ALR,25,25,25,25,1
resolving,W-clinical,active_witness,ALR,ALR,25,25,25,25,1
nonresolving,M01,induction,ALR,AEX,30,30,25,30,1
nonresolving,M02,induction,REV,AEX,30,30,25,30,1
nonresolving,M03,induction,REV,AEX,30,30,25,30,1
nonresolving,M04,induction,REV,AEX,30,30,25,30,1
nonresolving,M05,induction,REV,AEX,30,30,25,30,1
nonresolving,M06,induction,AEX,AEX,30,30,25,30,1
nonresolving,M07,induction,AEX,AEX,30,30,25,30,1
nonresolving,H01,held_out,ALR,AEX,30,30,25,30,1
nonresolving,H02,held_out,REV,REV,30,25,25,30,1
nonresolving,H03,held_out,DIA,DIA,30,30,30,30,1
nonresolving,H04,held_out,REV,AEX,30,30,25,30,1
nonresolving,H05,held_out,REV,AEX,30,30,25,30,1
nonresolving,S-REF,synthetic_ladder,REF,REF,30,30,30,30,1
nonresolving,S-DIA,synthetic_ladder,DIA,DIA,30,30,30,30,1
nonresolving,S-REV,synthetic_ladder,REV,REV,30,25,25,30,1
nonresolving,S-AEX,synthetic_ladder,AEX,AEX,30,30,30,30,1
nonresolving,S-ALR,synthetic_ladder,ALR,ALR,30,30,30,30,1
nonresolving,W-currency,active_witness,ALR,ALR,30,30,25,30,1
nonresolving,W-deployment,active_witness,ALR,ALR,30,30,25,30,1
nonresolving,W-population,active_witness,ALR,ALR,30,30,25,30,1
nonresolving,W-clinical,active_witness,ALR,ALR,30,30,25,30,1
