fiber,t_min_bin,regime,pheno_band,n_worlds,p_hat,heterogeneity_std_L,c_over_l_bar,L_bar,A_e,cost_loss,DRO,pin_t_min,pin_L_real,pin_phenology,pin_regime,divergence_cl_acts_Ae_doesnt
"(-3.0, 'radiative', 'hardy')",-3.0,radiative,hardy,1374,0.4058,0.0383,0.05,2.0,REV,AEX,REV,-3.16,0.0006,dormant,radiative,1
"(-3.0, 'radiative', 'hardy')",-3.0,radiative,hardy,1374,0.4058,0.0383,0.1,1.0,REV,AEX,REV,-3.16,0.0006,dormant,radiative,1
"(-3.0, 'radiative', 'hardy')",-3.0,radiative,hardy,1374,0.4058,0.0383,0.2,0.5,REV,AEX,REV,-3.16,0.0006,dormant,radiative,1
"(-3.0, 'radiative', 'hardy')",-3.0,radiative,hardy,1374,0.4058,0.0383,0.5,0.2,REV,REV,REV,-3.16,0.0006,dormant,radiative,0
"(0.0, 'advective', 'vulnerable')",0.0,advective,vulnerable,1865,0.0242,0.0583,0.05,2.0,REV,REV,REV,-0.14,0.0,budbreak,advective,0
"(0.0, 'advective', 'vulnerable')",0.0,advective,vulnerable,1865,0.0242,0.0583,0.1,1.0,REV,REV,REV,-0.14,0.0,budbreak,advective,0
"(0.0, 'advective', 'vulnerable')",0.0,advective,vulnerable,1865,0.0242,0.0583,0.2,0.5,REV,REV,REV,-0.14,0.0,budbreak,advective,0
"(0.0, 'advective', 'vulnerable')",0.0,advective,vulnerable,1865,0.0242,0.0583,0.5,0.2,REV,REV,REV,-0.14,0.0,budbreak,advective,0
"(-2.0, 'radiative', 'vulnerable')",-2.0,radiative,vulnerable,2037,0.2069,0.1807,0.05,2.0,REV,AEX,REV,-2.33,0.0,leaf_out,radiative,1
"(-2.0, 'radiative', 'vulnerable')",-2.0,radiative,vulnerable,2037,0.2069,0.1807,0.1,1.0,REV,AEX,REV,-2.33,0.0,leaf_out,radiative,1
"(-2.0, 'radiative', 'vulnerable')",-2.0,radiative,vulnerable,2037,0.2069,0.1807,0.2,0.5,REV,AEX,REV,-2.33,0.0,leaf_out,radiative,1
"(-2.0, 'radiative', 'vulnerable')",-2.0,radiative,vulnerable,2037,0.2069,0.1807,0.5,0.2,REV,REV,REV,-2.33,0.0,leaf_out,radiative,0
"(1.0, 'advective', 'vulnerable')",1.0,advective,vulnerable,1488,0.0052,0.0234,0.05,2.0,REV,REV,REV,0.18,0.0,budbreak,advective,0
