L0_fiber,n_worlds_L0,level,enlarged_key,enlarged_fiber_size,p_hat_mean,A_e,honest_compiler,naive_coarse,cost_loss,DRO,Ae_monotone_along_ladder,manufactured_at_L3,cl_strengthens_L0_to_L3,dro_matches_Ae_at_L0,statuses
"(2.0, 'radiative', 'hardy')",986,L0,"(2.0, 'radiative', 'hardy')",986,0.0009,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""bounded"", ""vulnerability_gap"": ""closed""}"
"(2.0, 'radiative', 'hardy')",986,L1,"(2.0, 'radiative', 'hardy')",1932,0.0015,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(2.0, 'radiative', 'hardy')",986,L2,"(2.0, 'radiative-hardy')",1932,0.0015,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(2.0, 'radiative', 'hardy')",986,L3,"(2.0,)",7906,0.0015,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-1.0, 'advective', 'vulnerable')",1893,L0,"(-1.0, 'advective', 'vulnerable')",1893,0.0814,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-1.0, 'advective', 'vulnerable')",1893,L1,"(-2.0, 'advective', 'vulnerable')",3456,0.2096,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-1.0, 'advective', 'vulnerable')",1893,L2,"(-2.0, 'advective-vulnerable')",3456,0.2096,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-1.0, 'advective', 'vulnerable')",1893,L3,"(-2.0,)",13871,0.2107,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(4.0, 'radiative', 'vulnerable')",287,L0,"(4.0, 'radiative', 'vulnerable')",287,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(4.0, 'radiative', 'vulnerable')",287,L1,"(4.0, 'radiative', 'vulnerable')",629,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(4.0, 'radiative', 'vulnerable')",287,L2,"(4.0, 'radiative-vulnerable')",629,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
